id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
100000,Jorge,Rodríguez,CC,4332181960,1982-10-19,2025-10-28,Elite,582.0,Bogota,Colombia,Inactivo,Corresponsal Bancario
100001,María,Torres,CC,8908386379,1990-05-07,2025-12-24,Premium,619.0,Santiago,Chile,Activo,App Movil
100002,Yaneth,Polo,CC,2654235116,1980-09-30,2026-06-07,Basico,590.0,Lima,Peru,Activo,Oficina
100003,Diana,Sanabria,CC,9407816184,1970-08-29,2025-09-16,Premium,,Bogota,,Activo,Portal Web
100004,Álvaro,Beltrán,CC,5931034131,1990-12-25,2026-07-06,Basico,769.0,Barranquilla,Colombia,Inactivo,Portal Web
100005,Mery,Cárdenas,CC,5255341928,1990-10-12,2026-08-26,Basico,572.0,Guadalajara,Mexico,Activo,Portal Web
100006,Miguel,Pérez,CC,6483503056,1970-01-28,2026-06-29,Estandar,750.0,Lima,Peru,Activo,App Movil
100007,Alba,Rojas,CC,9537672423,1979-06-23,2026-08-24,Premium,571.0,Lima,Peru,Activo,Corresponsal Bancario
100008,Mauricio,Montoya,CC,9696532871,1994-06-21,2025-12-20,Basico,565.0,Medellin,Colombia,Activo,Corresponsal Bancario
100009,Alfonso,Prieto,CC,2269166978,1982-07-21,2025-10-18,Elite,731.0,Barranquilla,Colombia,Activo,Corresponsal Bancario
100010,Tatiana,Cortés,CC,0184514627,1994-03-16,2026-07-07,Basico,742.0,Barranquilla,Colombia,Activo,App Movil
100011,María,Camargo,CC,4828148932,1994-01-16,2026-06-02,Basico,735.0,Lima,Peru,Activo,Oficina
100012,Katherine,Pérez,CC,8095701543,1986-08-01,2026-06-10,Premium,518.0,Buenos Aires,Argentina,Activo,Corresponsal Bancario
100013,Luz,Monsalve,CC,1171822782,2007-11-14,2025-12-08,Estandar,603.0,Ciudad de Mexico,Mexico,Activo,App Movil
100014,Mónica,Arboleda,CC,6383465787,2007-10-02,2025-12-26,Estandar,,Bogota,,Activo,App Movil
100015,Paola,Torres,CC,5098393010,1995-05-12,2025-10-22,Basico,654.0,Lima,Peru,Activo,Oficina
100016,Ángela,Espitia,CC,5183473829,2000-10-16,2026-03-06,Premium,542.0,Medellin,Colombia,Activo,Corresponsal Bancario
100017,Carlos,Vargas,CC,7631165667,1985-05-26,2026-08-10,Estandar,695.0,Barranquilla,Colombia,Activo,App Movil
100018,Wilson,Martínez,CC,1065133387,1998-10-31,2026-07-23,Basico,578.0,Bogota,Colombia,Activo,Portal Web
100019,Isabel,Díaz,CC,7317810801,2005-06-14,2026-04-25,Basico,829.0,Santiago,Chile,Activo,Portal Web
100020,Alirio,Miranda,CC,2677360260,1970-09-29,2026-02-14,Basico,804.0,Lima,Peru,Activo,App Movil
100021,Alcides,Ortiz,CC,7468723430,1991-05-15,2025-09-17,Premium,710.0,Barranquilla,Colombia,Activo,Oficina
100022,Carlos,Ríos,CC,5009788208,1988-04-25,2025-10-04,Premium,786.0,Guadalajara,Mexico,Activo,Corresponsal Bancario
100023,Ana,Díaz,CC,9136193990,2006-05-20,2026-08-02,Premium,656.0,Buenos Aires,Argentina,Activo,Oficina
100024,David,Guerrero,CC,9985435346,1995-06-27,2026-01-14,Basico,726.0,Buenos Aires,Argentina,Activo,Corresponsal Bancario
100025,Carmen,Jaimes,CC,7510799118,1986-11-15,2026-04-08,Basico,797.0,Buenos Aires,Argentina,Activo,Oficina
100026,Fernanda,Ortiz,CC,5135427849,2002-03-05,2025-12-22,Basico,674.0,Bogota,Colombia,Activo,Portal Web
100027,Gerson,Arévalo,CC,8084124118,1983-12-25,2026-05-11,Estandar,624.0,Barranquilla,Colombia,Activo,App Movil
100028,Lucía,Castro,CC,3534874016,1996-07-13,2025-11-18,Basico,479.0,Barranquilla,Colombia,Activo,Oficina
100029,Álvaro,Gómez,CC,5242786801,1991-11-08,2025-10-03,Basico,,Ciudad de Mexico,,Activo,Oficina
100030,Ana,Nieto,CC,2805982620,1995-12-12,2026-01-07,Basico,732.0,Santiago,Chile,Activo,App Movil
100031,Natalia,Maldonado,CC,0533158692,1965-10-02,2025-10-29,Basico,,Medellin,,Activo,Corresponsal Bancario
100032,Robinson,Moreno,CC,2260256342,1988-10-16,2026-02-22,Estandar,700.0,Cali,Colombia,Activo,Oficina
100033,Fabián,González,CC,0733754330,2001-06-18,2026-04-21,Basico,,Ciudad de Mexico,,Inactivo,Corresponsal Bancario
100034,Alexander,Castillo,CC,4145868501,1978-12-30,2025-12-01,Basico,452.0,Barranquilla,Colombia,Activo,App Movil
100035,Henry,Muñoz,CC,9401965569,2002-10-21,2026-01-31,Basico,,Buenos Aires,,Activo,Portal Web
100036,Erick,González,CC,9340608835,1986-06-24,2026-03-11,Estandar,619.0,Santiago,Chile,Activo,App Movil
100037,Libia,Núñez,CC,5951484656,2007-11-03,2026-02-13,Elite,618.0,Bogota,Colombia,Activo,App Movil
100038,Jhon,Cortés,CC,3662994680,2004-03-04,2026-02-05,Estandar,711.0,Santiago,Chile,Activo,Portal Web
100039,Angie,Rojas,CC,9957773872,1985-11-24,2025-10-11,Estandar,,Barranquilla,,Activo,Oficina
100040,Alexander,Gutiérrez,CC,9513433200,1980-08-07,2026-05-31,Basico,662.0,Cali,Colombia,Activo,Portal Web
